English,Nepali,Alias(es),WikiData item
Province Hospital,प्रदेश अस्पताल ,,
Quarantine,एकान्तबास,एक्लै बस्नु,
Rapid Diagnostic Test (RDT),-यापिड डायग्नोस्टिक किट (आरडीटी),,
RDT Testing,आरडीटी परीक्षण,,
Readiness for Detection,पहिचानको लागि तयारी,,
Readiness for Response,प्रतिकार्यको तयारी,,
Readmitted Case,पुन: भर्ना गरिएको  बिरामीहरु,,
Recovered Cases,निको भएका बिरामीहरु ,,
Respiratory Droplets,श्वासप्रश्वास सम्बन्धि कणहरु  ,,
Respiratory Infection,श्वासप्रश्वास सम्बन्धि संक्रमण,,Q754447
Runny Nose,रूघा लाग्नु,,Q1115038
Safety Guidelines,सुरक्षा निर्देशन ,,
Sanitizer,सेनिटाइजर,,
Sars-cov2,सार्स-कोभ२ ,,Q82069695
Screening,मूल्यांकन,,Q1163564
Self-isolation,आफै अलागीनु,आफै अलगीएर बस्नु,
Self-quarantine,सेल्फ-क्वारेन्टिन,,
Septic Shock,सेप्टिक शक,,
Severe Acute Respiratory Syndrome (SARS),सिभर एक्युट रेस्पिरेटरी सिन्ड्रोम (सार्स),,
Shortness Of Breath,सास फेर्न गाह्रो हुनु ,,Q2700155
Sneeze,हाछ्युं,,
Sneezing,हाच्छिउं गर्नु,,Q35830
Soap,साबुन,,
Social Distancing,सामाजिक दुरी,,
Spanish Flu,स्पेनिश फ्लु ,,
Staying Indoors,भित्रै बस्नु ,,
Sukraraj Tropical And Infectious Disease Hospital,शुक्रराज ट्रपिकल तथा सरूवा रोग अस्पताल,,
Super-spreader,सुपर स्प्रेडर,धेरै संक्रमण फैलाउने व्यक्ति,
Surgical Masks,सर्जिकल मास्क,,Q10282403
Suspicion,शंका,,
Symptom,लक्षण,,
Telecommuting,दूरसंचार,,Q1135326
Testing Kit,परीक्षण किटहरू,,
Testing Protocols,परीक्षण निर्देशिका,,
Thermal Scanners,तापीय स्क्यानर,,
Throat,घाँटी,,Q16364
Tissue,तन्तु ,,
Transmission,सरुवा,,Q525512
Treatment,उपचार,,Q179661
Undergoing Treatment,उपचाररत ,,
Vaccine,खोप,,
Ventilator,भेंटिलेटर,,
Virtual Learning,भर्चुअल शिक्षा,,
Virus,भाइरस,,
Vomiting,वान्ता ,,Q127076
Warm Weather,गर्मी मौसम ,,
Working From Home,घर बाटै काम गर्नु ,,
World Health Organization,विश्व स्वास्थ्य संगठन,,Q7817
"Wuhan, China","वुहान, चीन  ",,
Zoonotic Disease,क्षेत्रातिक रोग,,Q182672
"Ministry of Culture, Tourism, and Civil Aviation","संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय",,
Foreign Employment,वैदेशिक रोजगार,,
Laboratory,प्रयोगशाला,,
Temporary Hospital,अस्थायी अस्पताल,,
International Flight,अन्तर्राष्ट्रिय उडान,,
Health Desks,स्वास्थ्य केन्द्र,,
Local Transmission,स्थानीय संक्रमण,,
South Asia,दक्षिण एसिया,,
Health Infrastructure,स्वास्थ्य पूर्वाधार,,
Small Droplets,ससाना छिडकाहरु,,
Preventive Measures,सुझाव दिएको उपायहरू,,
Travel Restrictions,यात्रामा प्रतिबन्ध,,
Workplace Hazard Controls,कार्यालयमा जोखिम नियन्त्रण,,
Facility Closures,सेवा सुविधा बन्द,,
Chest CT,छातीको सिटि स्क्यान,,
Diagnosis,मानक प्रक्रिया,,
Epidemiological,महामारीविज्ञानसम्बन्धी,,
Human Cells,मानव कोषहरू,,
Angiotensin Converting Enzyme 2,रिसेप्टर एंजियोटेंसिन कनभर्टिङ्ग एन्जाइम २,,
Bat-Borne Virus,चमेराबाट सुरु भएको भाइरस,,
