Keyword_English,Keyword_Nepali,Description_English,Description_Nepali
Herd immunity,बथानको रोग प्रतिरोध क्षमता,"also known as community immunity, this is the reduction in risk of infection within a population, often because of previous exposure or vaccination.",खोप वा पुर्व-संक्रमणले विकास हुने सामुदायिक रोग प्रतिरोध क्षमता
Hydroxychloroquine,हाइड्रोक्सीक्लोरोक्विन ,"an oral drug used to treat malaria, rheumatoid arthritis and lupus. Its effectiveness in treating patients with COVID-19 disease is still in question.","मलेरिया, संधिशोथ र ल्युपसको उपचार गर्न प्रयोग हुने औषधी"
Incubation period,उष्मायन अवधि,"the time between when an individual is first exposed to the virus and the appearance of symptoms. A person’s level of contagion before symptoms arise is not known, although most experts believe people are most contagious after they begin exhibiting symptoms.",भाइरस संगको संक्रमण देखि लक्षण देखिनु सम्मको समयावधि
Infrared thermometer,इन्फ्रारेड थर्मामीटर,tool for measuring temperature,तापमान मापनको लागी प्रयोग हुने उपकरण
Lockdown,बन्दबन्दि,"an emergency measure in which individuals are restricted from certain areas in an attempt to control exposure or transmission of disease. In a lockdown during an epidemic, individuals are encouraged to stay home.",रोगको फैलावट रोक्न निश्चित क्षेत्रबाट आवतजावत रोक्नु  
misinformation,गलत जानकारी,"false or incorrect information, including false rumors and malicious content such as hoaxes, spearphishing and computational propaganda",गलत जानकारी जस्तै: झूटा अफवाह र दुर्भावनापूर्ण प्रचार सामग्री
Novel coronavirus,नोभल कोरोनाभाइरस,"a new strain of coronavirus, or nCoV, that has never been detected in humans.",मानवमा पहिलो पटक देखिएको नयाँ थरिको कोरोना भाइरस
Pandemic,महामारी,"a worldwide spread of an infectious disease, with larger reach than an epidemic. Until COVID-19, the last pandemic was the H1N1 influenza outbreak in 2009.",सरुवा रोग/महामारी को विश्वव्यापी संक्रमण
Patient zero,पहिलो सङ्क्रमित ,the first individual infected with a disease during an epidemic.,महामारीको बखत पहिलो पटक संक्रमित हुने व्यक्ति
Person-to-person transmission,व्यक्ति व्यक्ति बीचको संक्रमण,"when a virus is spread between people, including physical contact or coughing and sneezing. This is in contrast to when a virus is spread via animals or through contaminated objects or surfaces.","शारीरिक स्पर्श, हाच्छिउं, खोकी आदिबाट  हुने व्यक्ति-व्यक्ति बीचको संक्रमण"
Physical distancing,शारीरिक दूरी,the practice of maintaining greater space between oneself and others and/or avoiding direct contact with other people.,प्रत्यक्ष शारीरिक स्पर्श रोक्न व्यक्ति व्यक्तिबीचको दुरी बढाउनु
PPE,व्यक्तिगत सुरक्षा सामग्री (पी.पी.इ),"personal protective equipment, or PPE, is specialized clothing and equipment used as a safeguard against health hazards including exposure to infectious diseases through physical contact or airborne particles.",हानिकारक जीवाणुको अनावरण रोक्न लगाइने विशेष सुरक्षा कवच 
Rapid diagnostic test,रैपिड डायग्नोस्टिक परीक्षण,"a medical diagnostic test that is quick and easy to perform, suitable for preliminary or emergency medical screening and for use in medical facilities with limited resources",प्रारम्भिक वा आपतकालीन चिकित्सा स्क्रीनिंगको लागि उपयुक्त हुने परीक्षण प्रणाली
Self-isolation,सेल्फ-आइसोलेसन,the act of separating oneself from others.,आफुलाई अरुबाट अलग्गै राख्नु
Self-quarantine,सेल्फ-क्वारेन्टिन,the act of refraining from any contact with other individuals for a period of time.,रोगसंगको सम्भावित संक्रमण पछि निश्चित समयसम्म आफुलाई अरुबाट अलग्गै राख्नु
Social distancing,सामाजिक दुरी,the act of remaining physically apart in an effort to stem transmission of COVID-19. ,रोगसंगको सम्भावित संक्रमण रोक्न सामाजिक कार्यक्रम बन्द गर्नु वा व्यक्तिहरुबीच दुरी बढाई संचालन गर्नु 
Social stigma associated with COVID-19,कोभिड-१९ सँग सम्बन्धित सामाजिक कलंक,discrimination,भेदभाव
Symptomatic,लाक्षणिक,"showing symptoms of COVID-19, which can include a fever, dry cough, shortness of breath and body aches.","ज्वरो, खोकी, दुखाई जस्ता कोभिड-१९ का लक्षणहरु देखाउनु"
Treatment of COVID-19,कोभिड-१९ को उपचार,set of medical interventions used to treat patients with COVID-19,कोभिड-१९ बिरामीहरुको उपचार गर्न प्रयोग गरिने चिकित्सा प्रणाली
Vaccine,खोप,a biological preparation of organisms that provides immunity to a particular infectious disease.,सरुवा रोग बिरुद्ध प्रतिरोध क्षमता बढाउन बनाइएको जीवाणुयुक्त खोप 
Ventilator,भेंटिलेटर,a machine designed to move air in and out of the lungs for a patient who is physically unable to breathe or who is not breathing well.,बिरामीको फोक्सोबाट कृत्रिमरुपले हावा भित्र बाहिर गराउने यन्त्र 
Workplace hazard controls for COVID-19,कोभिड-१९ कार्यालयमा जोखिम नियन्त्रण,occupational safety and health methodologies used in workplaces in response to the COVID-19 pandemic,कोभिड-१९ महामारीको प्रतिक्रियामा कार्यस्थलहरूमा प्रयोग हुने व्यावसायिक सुरक्षा र स्वास्थ्य विधिहरू
