Hospital Name,Address,Contact Number,Email Address,Website
Bankali Hospital,Gaushala,N/A,N/A,N/A
Bardibas Hospital,"Bardibas, Mahottari",N/A,N/A,N/A
Bayalpata Hospital,Achham,97-625026,N/A,N/A
Bhaktapur Cancer Hospital,"Bhaktapur, Nepal",01-6614430/6611532/6620941,bccc@wlink.com.np,www.bhaktapurcancerhospital.org
Bhaktapur Hospital,"Dudhpati, Bhaktapur",01-6610798,N/A,http://www.bhaktapurhospital.gov.np/
Bharatpur Hospital,"Bharatpur, Chitwan",056-524090/520111/524300 ,bharatpurhospitalchitwan@gmail.com,http://bharatpurhospital.gov.np
Shree Bhawani Research Centre And Hospital,"Birgunj, Parsa",9851110368,N/A,N/A
Bheri Zonal Hospital,"Nepalgunj Sub-Metropolitan, Banke",081-520120,N/A,N/A
Binaytara Foundation Cancer Center,"Janakpurdham, Dhanusha",9800856555,support@binayfoundation.org,https://cancer.binayfoundation.org/
Biratnagar Hospital,Biratnagar,21-531042,info@birathospital.com,http://birathospital.com/
Biratnagar Eye Hospital,Biratnagar,21-436360/436361,beh@erec-p.org,https://www.erec-p.org/
Birgunj Drishti Eye Hospital,Birgunj,51-525695,birgunj@drishtieye.org,https://www.drishtieye.org/branch/birgunj-drishti-eye-hospital
Birgunj Health Care Hospital,"Birgunj, Parsa",51-411007/220000,info@bhchospital.com,https://bhchospital.com
Capital Hospital,"Putalisadak, Kathmandu",01-4168222/4168284,info@capitalhospital.com.np.,https://www.capitalhospital.com.np
Central Jail Hospital,"Bagh Durbar, Tripureshwor, Kathmandu",01-4259712/4212448/4249311,info@cjhospital.gov.np,https://www.cjhospital.gov.np/
Chaurjahari Hospital Rukum,Rukum District,N/A,N/A,N/A
Chhetrapati Free Hospital,"Chhetrrapati, Kathmandu",01-4216138,cfclinic@mail.com.np,http://www.free-clinic.org.np
Bharatpur Eye Hospital,"Bharatpur 10, Chitwan",056-523333,behchitwan@beh.org.np,http://beh.com.np
Chitwan Medical College Teaching Hospital,"Bharatpur 10, Chitwan",056-532933,info@cmc.edu.np,www.cmc.edu.np
Civil Service Hospital,"Minbhawan, Kathmandu",01-4107000/4107002,info@civilservicehospital.org,www.civilservicehospital.org
CIWEC Clinic,"British Embassy Road Lazimpat, Kathmandu",01-4424111/4435232,info@ciwec-clinic.com,http://ciwec-clinic.com/
Ciwec Hospital Pokhara,"Lakeside, Pokhara",61-463082/465053,pkraadministrator@ciwec-clinic.com,http://ciwec-clinic.com/
Clinic One,"Norkhang Complex, Jawalkhel, Lalitpur",01-5009233,info@clinicone.com.np,https://www.clinicone.com.np
Devi Ma Kunja Ayurvedic Hospital,"Sipadole, Bhaktpur",01-553219,N/A,N/A
Dhaulagiri Zonal Hospital,"Baglung Municipality, Baglung",068-520188,info@dhaulagirizonalhospital.gov.np,http://dhaulagirizonalhospital.gov.np
Dhulikhel Hospital Kathmandu University Hospital,"Dhulikhel, Kavre",01-4411140,info@kantichildrenhospital.gov.np,www.kantichildrenhospital.gov.np
Dr. Iwamura Memorial Hospital And Research Centre,Sallaghari,6612695/6612705,info@iwamurahospital.com,http://www.iwamurahospital.com/
Far-west Sub Regional Hospital,"Amargadhi Municipality, Dadeldhura",N/A,N/A,N/A
Father Bal Eye Hospital,"Phultekra, Nepalganj",081-520598/522737,fbeheye@gmail.com,http://fbeh.org.np/
Friends Of Shantabhawan,"Shrijanatole,Boudha -6, Kathmandu",01-4914455,N/A,https://fsbnepal.org.np
Gajendra Narayan Singh Sagarmatha Zonal Hospital,"Rajbiraj Municipality, Saptari",031-520155,N/A,N/A
Gandak Hospital,"Birgunj, Parsa",51-411011,N/A,N/A
Global Hospital,"Gwarko, Lalitpur",01-5200445,hospitalglobal3@gmail.com,http://www.globalhospital.com.np/
Gorkha Hospital,"Ghorahi-11, Dang",082-5600000,info@gorkhahospital.org.np,http://gorkhahospital.org.np
Grande International Hospital,"Dhapasi, Kathmandu",01-4381047/4380223,info@grandehospital.com,https://www.grandehospital.com/
H.M. Hospital,"Maharajganj, Kathmandu",01-4415461,N/A,N/A
HAMS Hospital,"Mandikhatar Road,Dhumbarahi, Kathmandu",01-4377704 ,info@hamshospital.com,https://hamshospital.com/
Helping Hands Community Hospital,"Chahabil, Kathmandu",01-4473518/4496807,info@helpinghandshospital.org.np,http://helpinghandshospital.org.np/
Himalaya Eye Hospital,"Dhari Patan, Pokhara",61461168,N/A,http://heh.org.np/
Pashupati Homoeopathic Hospital,"Pulchok, Lalitpur",01-5522092,N/A,N/A
Ilam Hospital,Ilam,027-520033,N/A,N/A
Inaruwa District Hospital,Inaruwa,025-560119,N/A,N/A
International Friendship Children's Hospital (IFCH),"Maharajganj, Kathmandu",01-4415461,info@ifch.com.np,https://www.ifch.com.np/
Jaleshwar Hospital,Mahottari,9844031016,jaleshwarhospital@yahoo.com,https://www.jaleshwarhospital.com/
Janaki Medical College Teaching Hospital,"Bramhapuri, Janakpur",41-524174,N/A,http://janakimedicalcollege.edu.np/
Janakpur Zonal Hospital,"Janakpur Sub-Metropolitan, Dhanusha",41-520133,N/A,N/A
Kanti Children's Hospital,Kathmandu,01-4411550/4414798,info@kantichildrenhospital.gov.np,http://kantichildrenhospital.gov.np/
Kantipur Dental Hospital,"Basundhara, Ring Road, Kathmandu",01-4385912,kdchktm@gmail.com,https://kantipurdental.edu.np/
Kantipur Hospital,"Subidhanagar Tinkune, Kathmandu",01-4111627/4111858,kantipurh@gmail.com,https://kantipurhospital.com/
Karnali Academy of Health Science,"Chandannath Municipality, Jumla",01-5525322,info@kahs.edu.np,http://kahs.edu.np/
Kaski Sewa Hospital and Research center,"Hospital Chowk, Pokhara, Kaski",061-528161/528162,info@kaskisewahospital.com,http://www.kaskisewahospital.com/
Kathmandu Cancer Center Hospital,"Tathali, Nala Road, Bhaktapur",01-5091629,info@kccrc.org,https://kccrc.org/
Kathmandu Hospital Pvt. Ltd,"Tripureshwor, Kathmandu",01-4229656/4262194/4261018,ktmhospi@ccsl.com,N/A
Kathmandu Medical College Teaching Hospital (KMC),"Sinamangal, Kathmandu",01-4476152/4469064,info@kmc.edu.np,www.kmc.edu.np
Kathmandu Model Hospital,"Bagbazar, Kathmandu",01-4240806,info@kistmcth.edu.np,http://kistmcth.edu.np/
"Nepal Disabled Association, Khegendra New Life Centre","Khagendra Marg, Jorpati Narayantar, Kathmandu",01-4910923/4912107,info@nda-nepal.org.np,http://nda-nepal.org.np/
KIST Medical College and Teaching Hospital,"Imadol, Lalitpur",01-5201496/5201682,info@kistmcth.edu.np,https://www.kistmcth.edu.np/
Koshi Zonal Hospital,"Biratnagar Metropolitan, Morang",021-530103,N/A,N/A
Kunde Hospital,Kunde,N/A,N/A,N/A
Lamjung District Community Hospital,Lamjung,066-520183,N/A,N/A
Life Care Hospital,"Bagh Durbar, Kathmandu",9844662250,N/A,www.lifecare.com
Lions Eye Care Centre,"Minbhawan, Kathmandu",01-4622211,lecc@mail.com.np,www.eyelions.org
Lumbini Eye Institute,Siddharthanagar,71-520265,info@lei.org.np,http://www.lei.org.np/
Lumbini Zonal Hospital,"Butwal Sub-Metropolitan, Rupandehi",071-540200,N/A,N/A
Mahakali Zonal Hospital,"Bhimdatta Municipality, Kanchanpur",099 – 521111,N/A,N/A
Mahendra Memorial Eye Hospital,"Bharatpur, Chitwan",520333,N/A,N/A
Manipal Hospital Pokhara,"Phulbari, Pokhara",061-526416/526417,mcoms@manipal.edu.np,https://www.manipal.edu.np/mcoms/hospital.html
Maya Metro Hospital Pvt. Limited,"Chatakpur-3, Dhangadhi, Kailali",091-416140,N/A,N/A
Mechi Zonal Hospital,"Bhadrapur Municipality, Jhapa",023-520172,N/A,N/A
Medicare National Hospital and Research Centre,"Chabahil, Kathmandu",01-4467067,medicare@medicarehosp.com,https://medicarehosp.com/
Mediciti Hospital,"Bhaisepati, Lalitpur",01-4217766,info@nepalmediciti.com,http://www.nepalmediciti.com/
Mental Hospital,"Lagankhel, Lalitpur",01-552133/5521612,N/A,http://mhl.org.np/
Mid-Western Regional Hospital,"Birendranagar Municipality, Surkhet",083-520200,N/A,N/A
Miteri Hospital,"Bagbazar, Kathmandu",01-4269555,N/A,http://msmhospital.gov.np
Moksha Ayurveda & Panchakarma Center,"Bakhundole, Patan, Lalitpur",01-5541584/5522954,info@mokshaayurveda.com.np,http://mokshaayurveda.com.np/
Narayani Sub Regional Hospital,"Birgunj Metropolitan, Parsa",051-521993,N/A,N/A
Narmada Ayurveda Health Home and Research Centre,"New Baneshwar, Kathmandu",01-46-02651,naramadahealth2074@gmail.com,https://narmadahealth.com.np/
"National Academy of Medical Sciences, Bir Hospital","Mahaboudha, Kathmandu",01-4221119,admin@nams.org.np,https://nams.org.n
National Cancer Hospital,"Jawalakhel, Lalitpur",01-5553376/5536133/5551376,N/A,www.nationalcancerhospital.org
National Dental Hospital,"Lazimpat, Kathmandu",01-4410438/4436311/4433697,N/A,N/A
National Medical College,Birgunj,051-417015/417320,info@nmcbir.edu.np,https://www.nmcbir.edu.np/
National Tuberculosis Center,"Thimi, Bhaktapur",01-6630706,N/A,http://nepalntp.gov.np/
Nepal Anti TB Hospital,"Sanothimi, Bhaktapur",01-6630033,N/A,https://nepalntp.gov.np/
Nepal Ayurveda Medical College & Teaching Hospital,"Birgunj, Parsa",051-529373,namcbirgunj@gmail.com,http://namc.edu.np/
Nepal Eye Hospital,"Tripureshwor, Kathmandu",01-4260813/4250691,nepaleyehospital@gmail.com,http://www.nepaleyehospital.org/
Nepal Medical College Pvt.Ltd (NMC),"Jorpati, Kathmandu",01-4911008,principal@nmcth.edu,www.nmcth.edu
Nepal Mediciti Hospital,Bhaisepati Lalitpur,01-4217766,info@nepalmediciti.com,https://www.nepalmediciti.com/
Nepal Orthopaedic Hospital,"Jorpati, Kathmandu",01-4911725/4911274/4910505,neporth@mos.com.np,www.noh.org.np
Nepal Police Hospital,"Maharajgunj, Kathmandu",01-4412430/4412530/4412630,nph@nepalpolice.gov.np,http://nph.nepalpolice.gov.np
Nepalgunj Medical College,"B.P.Chowk-12, Nepalgunj Banke",81-521572,ngmcmdoffice@gmail.com,https://www.ngmc.edu.np
Neuro Hospital (National Institute of Neurology),"Bansbari, Kathmandu, Nepal",01-4373850/4379010,national@neuro.org.np,http://neuro.org.np/
Niko Children's Hospital Pvt. Ltd.,"Bharatpur-10, Chitwan, Nepal",056-528953/528853,nikochildrehospital@gmail.com,https://nikochildrenshospital.wordpress.com/
Nobel Hospital,"Sinamangal, Kathmandu",01-4110842/4110893,info@nobelhospital.com,http://www.nobelhospital.com/
Nobel Medical College Teaching Hospital & Research Center,"Kanchanbari, Biratnagar – 5, Morang",21-460736/461735,mgmt@nobelmedicalcollege.com.np,https://www.nobelmedicalcollege.com.np/
Norvic International Hospital,"Thapathali, Kathmandu",01-4258554,heart@norvic.wlink.com.np,www.norvichospital.com
Ojus Ayurveda Hospital and Research Centre. Nepal's first Panchakarma hospital.,"Samakhusi Junction, Kathmandu",01-4352075,N/A,http://www.ojusayurveda.com/
Om Hospital & Research Centre (P.) Ltd,"Chabahil, Kathmandu",01-4482484,omhrc@wlink.com.np,http://www.omhospitalnepal.com/
Palpa Mission Hospital,"Palpa, Nepal",075-520111/520958,N/A,www.tansenhospital.org.np
Patan Hospital,"Lagankhel, Lalitpur",01-5522295,info@patanhospital.org.np,www.patanhospital.org.np
People's Dental College And Hospital,"Nayabazar, Balaju, Kathmandu",4390105/4354764,pdch@mail.com.np / itpdch@gmail.com,https://www.pdch.com.np/
Pokhara Health Science Academy,"Pokhara Lekhnath Metropolitan, Kaski",061-522674,info@pahs.gov.np,https://pahs.gov.np/
Paropakar Maternity & Women's Hospital,"Thapathali, Kathmandu",01-4261363/4253276/4212568,info@pmwh.gov.np,https://www.pmwh.gov.np/
Prithivi Chandra Hospital,Nawalparasi,078-520188,N/A,N/A
Ram Kumar Mahabir Prasad Kedia Eye Hospital,"Lipani, Birgunj",620482/621560,N/A,N/A
Ram Lal Golcha Eye Hospital Foundation,"Goshwara Road, Biratnagar, Morang",21-523706,eyegolchha@gmail.com & rlgeh@golchha.com,http://www.rlgeh.org.np/
Rapti Eye Hospital,"Tulsipur, Dang",082-520165/82-520322,nabpdng@gmail.com,http://raptieyehospital.org/
Rapti Sub-Regional Hospital,"Ghorahi Sub-Metropolitan, Dang",N/A,N/A,N/A
Rapti Zonal Hospital,"Tulsipur Sub-Metropolitan, Dang",082-521624,N/A,N/A
Reiyukai Eiko Masunaga Eye Hospital,"Banepa, Kavre",011-661580,remeh_banepa@yahoo.com,http://eurasiareiyukai.org/emeh.php
SAARC Tuberculosis and HIV/AIDS Centre,"Thimi, Bhaktapur",01-6632601/6631048/6632477,saarctb@mos.com.np,www.saarctb.org
Sagarmatha Choudhary Eye Hospital,"Lahan, Siraha",33-560402/560491,sceh@erec-p.org,https://www.erec-p.org
Sagarmatha Zonal Hospital,Rajbiraj,031-520155,N/A,N/A
Sarlahi Hospital,"Malangawa, Sarlahi",N/A,N/A,N/A
Scheer Memorial Adventist Hospital,Banepa,1-1661111,info@scheermemorial.org,https://scheermemorialhospital.org/
Seti Zonal Hospital,"Dhangadhi Sub-Metropolitan, Kailali",091-524281,N/A,N/A
Shahid Gangalal National Heart Center,"Bansbari, Kathmandu",01-4371322/4371374 /4370622,sgnhc@sgnhc.org.np,https://www.sgnhc.org.np/
Sahid Memorial Hospital,"Kalanki–14, Kathmandu",01-5218921/5219934/5219935,N/A,www.sahidhospitalkalanki.com
Shree Birendra Hospital,"Chhauni, Kathmandu",01-4271940/4271941/4278607,bh@nepalarmy.mil.np,www.birendrahospital.mil.np
Shree Janaki Eye Care Centre,Janakpur,520133/520397,N/A,N/A
Shubhatara Hospital & Research Center Pvt. Ltd,"Mahalaxmisthan, Lalitpur",01-5523420,N/A,www.shrc.com.np
Siddhartha Apollo Hospital,"Thamel, Kathmandu",01-4420630,N/A,N/A
Siddhartha Children and Women Hospital,"Butwal, Rupandehi",71-502097,scwh.butwal@amda.org.np,N/A
Siddhi Memorial Women and Children Hospital,"Bhimsenstan, Bhaktapur",01-6612945,adminofficer@smf.org.np,http://smf.org.np
Solu District Hospital,"Phaplu, Solukhumbu",N/A,N/A,N/A
Sri Pashupati Homeopathic Hospital,"Harihar Bhawan, Pulchok, Lalitpur",01-5522092,N/A,N/A
Star Hospital,"Sanepa Ring road, Lalitpur",01-5550297/5552227/5550197,info@starhospitallimited.com,https://www.starhospital.com.np/
Sukraraj Tropical and Infectious Disease Hospital (Teku Hospital),"Teku, Kathmandu",01-4253395/4253396,info@istidh.org,http://www.stidh.gov.np/
Surkhet District Hospital,Surkhet,N/A,N/A,N/A
Sushma Koirala Memorial (SKM) Hospital,"Shankharapur Municipality, Kathmandu",01-4450826/4450304,skh@wlink.com.np,www.skmhospital.org.np
T. U. Teaching Hospital,"Maharajgunj, Kathmandu",01-412505/412303/412605,N/A,www.teachinghospital.org.np
Tamghas Hospital,"Gulmi, Lumbini",079-540024,N/A,N/A
Taulihawa Hospital,Kapilvastu,N/A,N/A,N/A
Tilganga Institute of Ophthalmology,"Gaushala, Bagmati Bridge, Kathmandu",01-4465294/4465295,info@tilganga.org,http://tilganga.org/
Trishuli Hospital,"Nuwakot, Trishuli",01-0560231/0560188,distrishulihospital@gmail.com,https://dthnuwakot.gov.np/
Tsho Rolpa Hospital,"Charikot, Dolakha District",N/A,N/A,N/A
Udayapur District Hospital,Triyuga,N/A,N/A,N/A
Universal College of Medical Sciences,"Bhairahawa, Rupandehi",71-506138/506030/506121,msoffice@ucms.com.np,http://ucms.com.np/
Vayodha Hospital,"Balkhu, Kathmandu",-1-4281666,info@vayodhahospitals.com,https://www.vayodhahospitals.com/
Vision Concern Optics & Eye Clinic,"Lazimpat,Chabahil & Boudha",01-6914720/6204659/4565520,visionconcerntushal@gmail.com,http://visionconcern.com/
Visual Line Optical & Eye Clinic,"Kathmandu, Nepal",9860344968,visualline.nepal@gmail.com,https://mypuru.wixsite.com/visuallinenepal
Wellness Hospital Private Limited,"Narayan Gopal Chowk, Chakrapath, Kathmandu",01-4017787,info@wellnesshospital.com.np,http://wellnesshospital.com.np/
